e1000119-1,Multiscale Modeling & Simulation,e1000119
e1000119-2,SIAM Journal on Applied Dynamical Systems,e1000119
e1000119-3,SIAM Journal on Applied Mathematics,e1000119
e1000119-4,SIAM Journal on Computing,e1000119
e1000119-5,SIAM Journal on Control and Optimization,e1000119
e1000119-6,SIAM Journal on Discrete Mathematics,e1000119
e1000119-7,SIAM Journal on Financial Mathematics,e1000119
e1000119-8,SIAM Journal on Imaging Sciences,e1000119
e1000119-9,SIAM Journal on Mathematical Analysis,e1000119
e1000119-10,SIAM Journal on Matrix Analysis and Applications,e1000119
e1000119-11,SIAM Journal on Numerical Analysis,e1000119
e1000119-12,SIAM Journal on Optimization,e1000119
e1000119-13,SIAM Journal on Scientific Computing,e1000119
e1000119-14,SIAM Review,e1000119
e1000119-15,Theory of Probability and its Applications,e1000119
